r_value,f_value,m_value
0,21,1.35
-28,1,0.98
-15,6,1.37
-1,10,1.24
-4,11,1.7
-10,5,1.39
-10,8,1.15
-6,10,1.3
-27,2,1.02
-21,2,0.76
-28,1,0.72
-8,5,1.25
-19,3,1.2
-20,1,0.75
-23,5,1.02
-24,1,0.62
-13,1,0.5
-9,12,1.15
-20,9,0.8
-24,2,0.91
-8,18,1.26
-22,6,0.94
-20,7,1.07
-18,3,1.15
-22,2,1.09
-11,8,1.37
-10,16,1.54
-24,2,0.88
-6,10,0.98
-8,21,1.21
-15,1,0.51
-19,5,1.26
-17,1,0.8
-5,23,1.23
0,2,1.0
-10,19,1.35
-12,5,1.28
-12,10,0.91
-1,16,1.01
-25,4,1.33
-12,13,0.91
-4,10,0.96
-4,9,0.74
-7,7,1.18
-28,1,0.94
-15,4,1.13
-8,4,1.08
-13,3,1.05
-24,5,0.97
0,28,0.76
-19,8,1.34
-22,7,1.04
-3,18,1.71
-18,5,1.05
-18,1,0.64
-15,5,1.19
-18,7,1.11
-17,5,1.19
-26,1,0.66
-25,4,0.91
-23,2,0.93
-27,1,0.55
-11,18,0.87
-14,8,1.15
-15,5,1.26
-17,12,1.38
-13,12,1.1
-6,1,0.84
-3,8,0.81
-19,5,0.98
-26,1,0.74
-10,4,1.09
-13,6,1.3
-18,9,1.12
-24,5,1.01
-9,7,1.28
-2,3,0.94
-1,27,1.69
-16,3,1.13
-19,6,0.85
-12,8,1.62
-10,9,1.13
-28,1,0.86
-24,4,1.03
-28,1,0.69
-24,1,0.7
-17,9,1.02
-23,2,0.9
-3,9,1.45
-12,17,1.23
-2,9,1.28
-4,17,1.61
-25,2,0.77
-2,20,1.46
-21,7,1.3
0,19,1.09
-24,1,0.63
-18,4,0.86
-25,4,1.58
-25,2,1.03
-23,5,0.97
-15,4,1.04
-5,18,1.56
-3,5,1.36
-12,9,1.28
-1,5,0.96
-11,7,1.38
-27,1,0.75
-1,16,1.61
-17,11,1.7
-20,2,0.45
-26,3,0.94
-24,5,1.01
-20,8,0.91
-25,4,0.84
-22,5,0.83
-8,19,1.16
-3,11,1.21
-18,11,1.49
-20,9,1.3
-4,14,1.36
-3,20,1.56
-23,3,1.12
-23,6,1.15
-22,5,1.05
-6,12,1.41
-18,4,0.85
-21,4,1.12
-2,10,0.93
-2,21,1.68
-27,2,0.87
-28,1,0.76
-12,5,1.11
0,14,1.36
-8,4,0.86
-4,23,1.8
-16,7,1.01
-7,20,1.19
-14,13,0.89
-7,19,1.51
-15,12,0.98
-7,20,1.28
-15,6,1.1
-8,18,1.44
-15,6,1.44
-5,3,0.94
-22,5,0.83
-6,19,1.59
-1,26,1.26
-16,8,1.59
-25,3,0.85
-13,8,0.77
-19,4,0.92
-20,1,0.67
-19,6,0.91
-28,1,0.89
-13,12,0.97
-20,3,1.01
-11,10,1.04
-10,4,1.02
0,6,1.37
-8,14,1.43
-28,1,0.52
-28,1,0.6
-7,18,1.48
-26,3,0.79
-20,1,0.81
-15,10,1.41
